item_id,total_sales,mean_sales,std_sales,cat_id,dept_id,sales_tier
FOODS_1_026,945,0.5255839822024472,0.8946521186282372,FOODS,FOODS_1,Medium
FOODS_1_080,1396,0.7764182424916574,1.1700491867105443,FOODS,FOODS_1,Medium
FOODS_1_138,1132,0.6295884315906563,1.438268972749553,FOODS,FOODS_1,Medium
FOODS_1_160,160,0.08898776418242492,0.3845673137054478,FOODS,FOODS_1,Low
FOODS_1_198,836,0.4649610678531702,1.1535656530037925,FOODS,FOODS_1,Medium
FOODS_1_214,1427,0.7936596218020022,1.0619245555367591,FOODS,FOODS_1,Medium
FOODS_2_022,1232,0.6852057842046718,1.1551405693836936,FOODS,FOODS_2,Medium
FOODS_2_028,292,0.16240266963292546,0.49739355170675237,FOODS,FOODS_2,Low
FOODS_2_044,1409,0.7836484983314794,1.1858090757282758,FOODS,FOODS_2,Medium
FOODS_2_147,288,0.16017797552836485,0.5929791151187987,FOODS,FOODS_2,Low
FOODS_2_261,362,0.20133481646273638,0.5195760420396582,FOODS,FOODS_2,Low
FOODS_2_276,25171,13.99944382647386,10.199266710245697,FOODS,FOODS_2,High
FOODS_2_292,249,0.13848720800889877,0.4814399919936119,FOODS,FOODS_2,Low
FOODS_2_328,319,0.1774193548387097,0.6564619192478885,FOODS,FOODS_2,Low
FOODS_2_380,3780,2.1023359288097887,3.2220002453481214,FOODS,FOODS_2,High
FOODS_2_398,1121,0.6234705228031145,1.1264240461974415,FOODS,FOODS_2,Medium
FOODS_3_076,6901,3.838153503893215,3.869742123330137,FOODS,FOODS_3,High
FOODS_3_114,843,0.4688542825361513,1.2284323745957433,FOODS,FOODS_3,Medium
FOODS_3_120,57838,32.16796440489433,33.76598963551206,FOODS,FOODS_3,High
FOODS_3_141,1254,0.6974416017797553,0.9866691383228459,FOODS,FOODS_3,Medium
FOODS_3_147,601,0.3342602892102336,1.2203317387867942,FOODS,FOODS_3,Medium
FOODS_3_184,5086,2.828698553948832,2.5388729764063114,FOODS,FOODS_3,High
FOODS_3_192,1451,0.807007786429366,1.4051403568006844,FOODS,FOODS_3,Medium
FOODS_3_217,8438,4.692992213570634,2.610553013251747,FOODS,FOODS_3,High
FOODS_3_268,676,0.3759733036707453,0.8353094144527781,FOODS,FOODS_3,Medium
FOODS_3_284,155,0.08620689655172414,0.34640849968758797,FOODS,FOODS_3,Low
FOODS_3_371,164,0.09121245828698554,0.38693260061467916,FOODS,FOODS_3,Low
FOODS_3_605,835,0.46440489432703,0.9574189453210792,FOODS,FOODS_3,Medium
FOODS_3_642,597,0.332035595105673,0.730439508236686,FOODS,FOODS_3,Medium
FOODS_3_706,1656,0.9210233592880979,1.88376558983614,FOODS,FOODS_3,Medium
FOODS_3_716,3199,1.779199110122358,2.099280694934836,FOODS,FOODS_3,High
FOODS_3_733,1024,0.5695216907675195,1.712309324067277,FOODS,FOODS_3,Medium
FOODS_3_768,1524,0.8476084538375973,1.857806210456351,FOODS,FOODS_3,Medium
FOODS_3_772,4923,2.7380422691879867,3.7014050715985407,FOODS,FOODS_3,High
HOBBIES_1_014,2174,1.2091212458286986,1.5213872084900537,HOBBIES,HOBBIES_1,High
HOBBIES_1_026,4,0.002224694104560623,0.07456459115851491,HOBBIES,HOBBIES_1,Low
HOBBIES_1_029,2598,1.4449388209121246,1.4796051721220198,HOBBIES,HOBBIES_1,High
HOBBIES_1_056,1401,0.7791991101223582,1.4517546512603559,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_072,1041,0.5789766407119021,0.9063816648219956,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_084,1584,0.8809788654060067,1.07548425173761,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_097,1054,0.5862068965517241,0.7788730679651095,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_098,792,0.44048943270300334,0.7560302442840778,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_108,1957,1.0884315906562847,1.2957143040206296,HOBBIES,HOBBIES_1,High
HOBBIES_1_149,1409,0.7836484983314794,1.0333448037808122,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_160,655,0.364293659621802,0.6384052774263458,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_173,827,0.4599555061179088,0.7882755198413353,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_178,15090,8.39265850945495,9.749984891968507,HOBBIES,HOBBIES_1,High
HOBBIES_1_198,1198,0.6662958843159066,1.0330588782099412,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_199,339,0.1885428253615128,0.5715787536957401,HOBBIES,HOBBIES_1,Low
HOBBIES_1_232,762,0.42380422691879865,1.681524399665687,HOBBIES,HOBBIES_1,Medium
